region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Wales,2020-10-24,,estimate,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-10-25,,estimate,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-10-26,,estimate,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-10-27,,estimate,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-10-28,,estimate based on partial data,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-10-29,,estimate based on partial data,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-10-30,,estimate based on partial data,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-10-31,,estimate based on partial data,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-11-01,,estimate based on partial data,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-11-02,,estimate based on partial data,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-11-03,,estimate based on partial data,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-11-04,,estimate based on partial data,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-11-05,,estimate based on partial data,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-11-06,,estimate based on partial data,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-11-07,,estimate based on partial data,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-11-08,,estimate based on partial data,-0.037,-0.04,0.045,-0.118,-0.07,-0.05,-0.026,-0.008,0.028
Wales,2020-11-09,,estimate based on partial data,-0.035,-0.039,0.058,-0.143,-0.076,-0.05,-0.019,0.004,0.044
Wales,2020-11-10,,estimate based on partial data,-0.035,-0.039,0.058,-0.143,-0.076,-0.05,-0.019,0.004,0.044
Wales,2020-11-11,,estimate based on partial data,-0.035,-0.039,0.058,-0.143,-0.076,-0.05,-0.019,0.004,0.044
Wales,2020-11-12,,estimate based on partial data,-0.035,-0.039,0.058,-0.143,-0.076,-0.05,-0.019,0.004,0.044
Wales,2020-11-13,,estimate based on partial data,-0.035,-0.039,0.058,-0.143,-0.076,-0.05,-0.019,0.004,0.044
Wales,2020-11-14,,estimate based on partial data,-0.035,-0.039,0.058,-0.143,-0.076,-0.05,-0.019,0.004,0.044
Wales,2020-11-15,,estimate based on partial data,-0.035,-0.039,0.058,-0.143,-0.076,-0.05,-0.019,0.004,0.044
Wales,2020-11-16,,estimate based on partial data,-0.035,-0.039,0.058,-0.143,-0.076,-0.05,-0.019,0.004,0.044
Northern Ireland,2020-10-16,,estimate,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-17,,estimate,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-18,,estimate,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-19,,estimate,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-20,,estimate,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-21,,estimate,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-22,,estimate,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-23,,estimate,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-24,,estimate,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-25,,estimate,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-26,,estimate,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-27,,estimate,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-28,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-29,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-30,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-10-31,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-01,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-02,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-03,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-04,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-05,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-06,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-07,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-08,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-09,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-10,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-11,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-12,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-13,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-14,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-15,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
Northern Ireland,2020-11-16,,estimate based on partial data,-0.006,-0.008,0.036,-0.069,-0.033,-0.016,0.004,0.02,0.045
